"TI";"AU";"AB";"TC";"UT";"PY";"topic";"p";"n"
"Do microorganism stoichiometric alterations affect carbon sequestration
   in paddy soil subjected to phosphorus input?";"Zhang, ZJ
   Li, HY
   Hu, J
   Li, X
   He, Q
   Tian, GM
   Wang, H
   Wang, SY
   Wang, B";"Ecological stoichiometry provides a powerful tool for integrating microbial biomass stoichiometry with ecosystem processes, opening far-reaching possibilities for linking microbial dynamics to soil carbon (C) metabolism in response to agricultural nutrient management. Despite its importance to crop yield, the role of phosphorus (P) with respect to ecological stoichiometry and soil C sequestration in paddy fields remains poorly understood, which limits our ability to predict nutrient-related soil C cycling. Here, we collected soil samples from a paddy field experiment after seven years of superphosphate application along a gradient of 0, 30, 60, and 90 (P-0 through P-90, respectively) kg P.ha(-1).yr(-1) in order to evaluate the role of exogenous P on soil C sequestration through regulating microbial stoichiometry. P fertilization increased soil total organic C and labile organic C by 1-14% and 4-96%, respectively, while rice yield is a function of the activities of soil beta-1,4-glucosidase (BG), acid phosphatase (AP), and the level of available soil P through a stepwise linear regression model. P input induced C limitation, as reflected by decreases in the ratios of C: P in soil and microbial biomass. An eco-enzymatic ratio indicating microbial investment in C vs. P acquisition, i.e., ln(BG) : ln(AP), changed the ecological function of microbial C acquisition, and was stoichiometrically related to P input. This mechanism drove a shift in soil resource availability by increasing bacterial community richness and diversity, and stimulated soil C sequestration in the paddy field by enhancing C-degradation-related bacteria for the breakdown of plant-derived carbon sources. Therefore, the decline in the C: P stoichiometric ratio of soil microorganism biomass under P input was beneficial for soil C sequestration, which offered a \"win-win\" relationship for the maximum balance point between C sequestration and P availability for rice production in the face of climate change.";"0";"WOS:000351849700025";2015;"communiti, microbi, dri, abund, group";0.682016586462173;89
"Effects of rice straw and nitrogen fertilization on greenhouse gas
   emissions and carbon storage in tropical flooded soil planted with rice";"Bhattacharyya, P
   Roy, KS
   Neogi, S
   Adhya, TK
   Rao, KS
   Manna, MC";"Effects of four years of inorganic and organic nitrogen (N) management on the emission of three major greenhouse gases (GHGs): methane (CH4), carbon dioxide (CO2) and nitrous oxide (N2O), and on soil labile carbon fractions such as water-soluble carbon (C, WSC), microbial biomass carbon (MBC), KMnO4 oxidizable organic carbon (KMnO4-C), carbon management index (CMI) and soil carbon storage were investigated in a flooded rice (Oryza sativa L.) field in India. The treatments included an unfertilized control, inorganic nitrogen fertilizer, rice straw + inorganic nitrogen fertilizer and rice straw + green manure. Maximum global warming potential (GWP) (10,188 kg CO2 equivalent ha(-1)) was determined for the combined application of rice straw and green manure. Total carbon content and carbon storage in the topsoil were significantly increased for the rice straw + inorganic nitrogen fertilizer treatment. The combined application of rice straw and green manure was more effective in increasing WSC, MBC, KMnO4-C concentrations and CMI than the inorganic fertilizer treatments, although it increased gaseous carbon emission. The combined application of rice straw and an inorganic fertilizer was most effective in sequestrating soil organic carbon (1.39 Mg ha(-1)), resulting in a higher grain yield. Therefore, it could be the best option for improving productivity and carbon storage in the rice-rice cropping system. (C) 2012 Elsevier B.V. All rights reserved.";"48";"WOS:000309015800015";2012;"treatment, residu, miner, rice, straw";0.68199493318098;89
"CHEMICAL AND MINERALOGICAL PROPERTIES OF CHARCOALS FROM DIFFERENT
   ENVIRONMENTS";"Figueredo, NA
   da Costa, LM
   Siebeneichler, EA
   Passos, RR
   Tronto, J";"The increased emissions of greenhouse gases have motivated researches about capture and sequestration of C. The use of biochar in soils is an efficient way to maintain the C in the biochar stabilized and benefit the crop yield. The objective of this research was to characterize charcoals collected at different places. It was determined: total and organic C contents; elementary analysis by calcination; characterization of the samples by X-ray diffractometry, absorption spectroscopy and scanning electron microscopy. The samples in contact with soil showedhigher TOC contents, while total C contents were higher in the charcoals without contact with soil. The pH-H2O values of charcoal samples in contact with soil ranged between 4,42-7,24, average 6,8, while pH-KCl values ranged between 2,91-6,88, average 4,68. All samples presented low nutrient contents. In the samples of charcoal in contact with soil, kaolinite, quartz, graphite and gibbsitewere detected. The main functional groups identified were O-H, C=O, C=C and C-O. In the SEM of the samples 1 and 2, wood structures were less evident and there was influence of the soil components and organisms in these charcoals.";"0";"WOS:000350202300004";2014;"degre, stabil, char, charcoal, decomposit";0.681728848113014;92
"CO2 reduction potentials by utilizing waste plastics in steel works";"Sekine, Y
   Fukuda, K
   Kato, K
   Adachi, Y
   Matsuno, Y";"Feedstock recycling has received attention as an effective method to recycle waste plastics. However, estimating the reduction potential by life cycle assessment using coke oven and blast furnace in steel works has been a challenging task due to the complex structure of energy flow in steel works. Municipal waste plastics consist of several plastic resins. Previous studies have generally disregarded the composition of waste plastics, which varies significantly depending on the geographical area. If the reduction potentials by using each plastic resin in steel works can be quantified, the potential of municipal waste plastics (mixtures of plastic resins) can be estimated by summing up the potential of each resin multiplied by the composition of each resin in municipal waste plastics. Therefore, the goal of this study is to investigate the reduction potentials of CO2 emissions by using individual plastic resins (polyethylene (PE), polypropylene (PP), polystyrene (PS), polyethylene terephthalate (PET)) and those for municipal waste plastics in the coke oven and blast furnace.
   A model was developed to clarify the energy flow in steel works. In order to estimate the changes in energy and material balance in coke ovens when waste plastics are charged, the equations to calculate the coke product yield, gas product yield, and oil product yields of each plastic resin were derived from previous studies. The Rist model was adopted to quantify the changes in the inputs and outputs when plastics were fed into a blast furnace. Then, a matrix calculation method was used to calculate the change in energy balance before and after plastics are fed into a coke oven.
   It was confirmed that product yields of municipal waste plastics (mixtures of plastic resins) could be estimated by summing up the product yield of each plastic resin multiplied by the composition of each resin in municipal waste plastics. In both cases of coke oven and blast furnace feedstock recycling, the reduction potential of CO2 emissions varies significantly depending on the plastic resins. For example, in the case of coke oven chemical feedstock recycling, the reduction potential of PS and PP is larger than that of PE. On the other hand, in the case of blast furnace feedstock recycling, PE has the largest CO2 emissions reduction potential, whereas the CO2 emission reduction potential of PP is smaller than those of PE and PS. In both cases, PET has negative CO2 emission reduction potentials, i.e., there is an increase of CO2 emissions. In addition, the reduction potentials of CO2 emissions are slightly different in each city.
   The differences in the reduction potentials of CO2 emissions by coke oven chemical feedstock recycling of each plastic resin is attributable to the differences in calorific values and coke product yields of each plastic resin. On the other hand, the difference in the CO2 emission reduction potential for each plastic resin in blast furnace feedstock recycling is attributable to the difference in calorific values and the carbon and hydrogen content of each plastic resin, which leads to a difference in the coke substitution effect by each plastic resin. In both cases, the difference in those of municipal waste plastics is mostly attributable to the amount of impurities (e.g., ash, water) in the municipal waste plastics.
   It was found that the reduction potential of CO2 emissions by coke oven and blast furnace feedstock recycling of municipal waste plastics (mixtures of plastic resins) could be estimated by summing up the potential of each resin multiplied by the composition of each resin in municipal waste plastics. It was also clarified that feedstock recycling of waste plastic in steel works is effective for avoiding the increase in CO2 emissions by incinerating waste plastics, such as those from household mixtures of different resins.
   With the results obtained in this study, reduction potentials of CO2 emissions can be calculated for any waste plastics because differences in composition are taken into account.";"13";"WOS:000263982300005";2009;"ghg, bioenergi, biofuel, energi, life";0.681060765704573;85
"Modelling effects of geoengineering options in response to climate
   change and global warming: Implications for coral reefs";"Crabbe, MJC";"Climate change will have serious effects on the planet and on its ecosystems. Currently, mitigation efforts are proving ineffectual in reducing anthropogenic CO(2) emissions. Coral reefs are the most sensitive ecosystems on the planet to climate change, and here we review modelling a number of geoengineering options. and their potential influence on coral reefs. There are two categories of geoengineering, short-wave solar radiation management and longwave carbon dioxide removal. The first set of techniques only reduce some, but not all, effects of climate change. while possibly creating other problems. They also do not affect CO(2) levels and therefore fail to address the wider effects of rising CO(2), including ocean acidification, important for coral reefs. Solar radiation is important to coral growth and survival, and solar radiation management is no in general appropriate for this ecosystem. Longwave carbon dioxide removal techniques address the root cause of climate change, rising CO(2) concentrations. they have relatively low uncertainties and risks. They are worthy of further research and potential implementation, particularly carbon capture and storage, biochar, and afforestation methods. alongside increased mitigation of atmospheric CO(2) concentrations. (C) 2009 Elsevier Ltd. All rights reserved.";"9";"WOS:000273017400001";2009;"optim, terrestri, radiat, forc, centuri";0.680974691469678;114
"Accounting for soil carbon changes in agricultural life cycle assessment
   (LCA): a review";"Goglio, P
   Smith, WN
   Grant, BB
   Desjardins, RL
   McConkey, BG
   Campbell, CA
   Nemecek, T";"Soil carbon sequestration, a climate change mitigation option for agriculture, can either increase or decrease as a result of land management change (LMC) and land use change (LUC). To estimate all greenhouse gas (GHG) exchanges associated with various agricultural systems, life cycle assessments (LCAs) are frequently undertaken. To date LCA practitioners have not had a well-defined procedure to account for soil C in their assessments and as a consequence it is often not included. In this study, various methods used to estimate soil C changes due to (i) LMC and (ii) LUC are examined to assess soil C accounting methodologies in the life cycle inventory (LCI) of agricultural LCAs. A compromise between accuracy and completeness in LCA methods is necessary. A ranking of the preference of soil C accounting methods is suggested based on user expertise and data quality. For large scale assessment, the timing of soil CO2 emissions should be taken into account. If indirect LUC is relevant, a sensitivity analysis of assessment methods should be conducted because the methods highly affect assessment results. A common soil C accounting method that can be easily applied in agricultural LCA needs to be established and an agreement on indirect LUC methods will facilitate the assessment of LMC and LUC within agricultural LCAs. Crown Copyright (C) 2015 Published by Elsevier Ltd. All rights reserved.";"2";"WOS:000357552900003";2015;"ghg, bioenergi, biofuel, energi, life";0.679612300874574;85
"Greenhouse gas fluxes from an Australian subtropical cropland under
   long-term contrasting management regimes";"Wang, WJ
   Dalal, RC
   Reeves, SH
   Butterbach-Bahl, K
   Kiese, R";"The long-term effects of conservation management practices on greenhouse gas fluxes from tropical/subtropical croplands remain to be uncertain. Using both manual and automatic sampling chambers, we measured N(2)O and CH(4) fluxes at a long-term experimental site (1968-present) in Queensland, Australia from 2006 to 2009. Annual net greenhouse gas fluxes (NGGF) were calculated from the 3-year mean N(2)O and CH(4) fluxes and the long-term soil organic carbon changes. N(2)O emissions exhibited clear daily, seasonal and interannual variations, highlighting the importance of whole-year measurement over multiple years for obtaining temporally representative annual emissions. Averaged over 3 years, annual N(2)O emissions from the unfertilized and fertilized soils (90 kg N ha(-1) yr(-1) as urea) amounted to 138 and 902 g N ha(-1), respectively. The average annual N(2)O emissions from the fertilized soil were 388 g N ha(-1) lower under no-till (NT) than under conventional tillage (CT) and 259 g N ha(-1) higher under stubble retention (SR) than under stubble burning (SB). Annual N(2)O emissions from the unfertilized soil were similar between the contrasting tillage and stubble management practices. The average emission factors of fertilizer N were 0.91%, 1.20%, 0.52% and 0.77% for the CT-SB, CT-SR, NT-SB and NT-SR treatments, respectively. Annual CH(4) fluxes from the soil were very small (-200-300 g CH(4) ha(-1) yr(-1)) with no significant difference between treatments. The NGGF were 277-350 kg CO(2)-e ha(-1) yr(-1) for the unfertilized treatments and 401-710 kg CO(2)-e ha(-1) yr(-1) for the fertilized treatments. Among the fertilized treatments, N(2)O emissions accounted for 52-97% of NGGF and NT-SR resulted in the lowest NGGF (401 kg CO(2)-e ha(-1) yr(-1) or 140 kg CO(2)-e t(-1) grain). Therefore, NT-SR with improved N fertilizer management practices was considered the most promising management regime for simultaneously achieving maximal yield and minimal NGGF.";"50";"WOS:000294571700007";2011;"ha1, n2o, yr1, pastur, flux";0.67878722170409;104
"Regulation of atmospheric carbon dioxide by vegetation fires";"Ball, R";"Vegetation fires release some fraction of the carbon in the biomass back to the atmosphere as CO2 and deposit some of the carbon onto the ground as charcoal or pyrogenic carbon. It is an open, but not unanswerable, question as to whether the formation of pyrogenic carbon can effectively sequester carbon from atmospheric CO2. The purpose of this article is to conceptualise the question in terms of the global Charcoal Challenges, which deal with the scientific and socio economic questions associated with increasing the refractory (or long-term) black carbon pool at the expense of the atmospheric carbon pool, and to investigate the formation and decay of charcoal within this paradigm. Three particular Charcoal Challenges are examined: (1) the feasibility of lowering atmospheric CO2 by biochar production, (2) the tension between nature's use of fire to distribute carbon between long-term black carbon and short-term atmospheric pools and humans' need to suppress fire and (3) the premise that black carbon is a sink for CO2 only if its rate of formation exceeds its rate of decay; otherwise, it is a source. I show how the thermal decomposition of cellulose, the major constituent of vegetation, during fires acts as a thermokinetic oscillator that regulates the global distribution of carbon between atmospheric and black carbon reservoirs. I conclude that we cannot yet assume with certainty that the global black carbon reservoir is a carbon sink.";"1";"WOS:000333958300004";2014;"degre, stabil, char, charcoal, decomposit";0.677837070017323;92
"Swimming upstream: Engaging the American public early on climate
   engineering";"Carr, W
   Yung, L
   Preston, C";"Calls for public participation in climate engineering research and governance have appeared in numerous scientific and policy reports on the topic, indicating a desire for transparency and public oversight. But meaningful public engagement can require more of scientists and regulatory agencies than many realize. Over the past several decades, researchers and practitioners have developed many different methodologies to enable citizens to productively engage with experts and policy makers about emerging scientific and technological issues such as climate engineering. In fact, the United Kingdom has already convened several public participation exercises on climate engineering. Now is the time for federal agencies in the United States to start similar processes. The public is ready to discuss climate engineering. Are American scientists and decision makers ready to reciprocate?";"2";"WOS:000335576700007";2014;"polici, market, protocol, kyoto, intern";0.677291393764294;163
"Financial analysis of agroforestry land uses and its implications for
   smallholder farmers livelihood improvement in Ethiopia";"Duguma, LA";"A study was conducted in central highland Ethiopia to: (1) assess the financial feasibility and relative financial attractiveness of three agroforestry practices (small-scale woodlot, homestead tree and shrub growing and boundary tree and shrub growing); (2) evaluate the impacts of implementation of these land uses on farm households income and (3) identify the constraints for the implementation and expansion of the agroforestry practices. Then, 82 different land uses (21 small-scale woodlots, 35 homesteads and 26 boundary plantings) which were older than 15 years and established by the current owner were selected for the financial analysis. The input and output data were filled in a data sheet by face-to-face interview with the owners. The results showed that small-scale woodlot is the most profitable agroforestry practice followed by boundary plantings and homesteads. An ex-ante analysis of implementing the agroforestry practices showed that with minimum land area allocated for the practices, a household can generate net discounted revenues ranging from 5,908 to 26,021 Ethiopian Birr (532-2,342 USD) in 15 years at 10 % interest rate. Hence, the expansion of such agroforestry practices has a vital effect on farm household's income. Lack of proper planning and poor in-depth understanding about roles of trees and shrubs for household's income, land and seedling shortage, financial constraints and labor scarcity were identified as major problems for the expansion of agroforestry practices in the area. A thorough extension service comprising both efficient land resources utilization and proper planning practices could enhance the expansion of agroforestry practices and thereby positively influence the farmer's livelihood.";"2";"WOS:000314270400018";2013;"farm, biodivers, food, agroforestri, program";0.676507281249895;94
"Gross Direct and Embodied Carbon Sinks for Urban Inventories";"Mohareb, E
   Kennedy, C";"Cities and urban regions are undertaking efforts to quantify greenhouse (GHG) emissions from their jurisdictional boundaries. Although inventorying methodologies are beginning to standardize for GHG sources, carbon sequestration is generally not quantified. This article describes the methodology and quantification of gross urban carbon sinks. Sinks are categorized into direct and embodied sinks. Direct sinks generally incorporate natural process, such as humification in soils and photosynthetic biomass growth (in urban trees, perennial crops, and regional forests). Embodied sinks include activities associated with consumptive behavior that result in the import and/or storage of carbon, such as landfilling of waste, concrete construction, and utilization of durable wood products. Using methodologies based on the Intergovernmental Panel on Climate Change 2006 guidelines (for direct sinks) and peer-reviewed literature (for embodied sinks), carbon sequestration for 2005 is calculated for the Greater Toronto Area. Direct sinks are found to be 317 kilotons of carbon (kt C), and are dominated by regional forest biomass. Embodied sinks are calculated to be 234 kt C based on one year's consumption, though a complete life cycle accounting of emissions would likely transform this sum from a carbon sink to a source. There is considerable uncertainty associated with the methodologies used, which could be addressed with city-specific stock-change measurements. Further options for enhancing carbon sink capacity within urban environments are explored, such as urban biomass growth and carbon capture and storage.";"4";"WOS:000304809500005";2012;"ghg, bioenergi, biofuel, energi, life";0.671240522762938;85
"Highly stable rice-straw-derived charcoal in 3700-year-old ancient paddy
   soil: evidence for an effective pathway toward carbon sequestration";"Wu, MX
   Yang, M
   Han, XG
   Zhong, T
   Zheng, YF
   Ding, P
   Wu, WX";"Recalcitrant charcoal application is predicted to decelerate global warming through creating a long-term carbon sink in soil. Although many studies have showed high stability of charcoal derived from woody materials, few have focused on the dynamics of straw-derived charcoal in natural environment on a long timescale to evaluate its potential for agricultural carbon sequestration. Here, we examined straw-derived charcoal in an ancient paddy soil dated from similar to 3700 calendar year before present (cal. year bp). Analytical results showed that soil organic matter consisted of more than 25 % of charcoal in charcoal-rich layer. Similarities in morphology and molecular structure between the ancient and the fresh rice-straw-derived charcoal indicated that ancient charcoal was derived from rice straw. The lower carbon content, higher oxygen content, and obvious carbonyl of the ancient charcoal compared with fresh rice straw charcoal implied that oxidation occurred in the scale of thousands years. However, the dominant aromatic C of ancient charcoal indicated that rice-straw-derived charcoal was highly stable in the buried paddy soil due to its intrinsic chemical structures and the physical protection of ancient paddy wetland. Therefore, it may suggest that straw charcoal application is a potential pathway for C sequestration considering its longevity.";"1";"WOS:000368200200007";2016;"degre, stabil, char, charcoal, decomposit";0.669455020158994;92
"Effect of long-term differential application of inorganic fertilizers
   and manure on soil CO2 emissions";"Dhadli, HS
   Brar, BS";"Carbon dioxide (CO2) fluxes from agricultural soils have been considered as one of the important environmental impact issue, due to their role in global warming and also its mitigation by carbon (C) sequestration in soils. Substantial scope of C sequestration with the application of inorganic fertilizers and manures has been reported, but the long-term effects of continuous application need to be critically examined. To study the effect of continuous differential application of NPK fertilizers and farmyard manure (FYM) in maize-wheat cropping system, CO2 fluxes were measured via closed chambers and gas chromatography in a long-term experiment in progress for the past 42 years. The average daily CO2 fluxes differed significantly amongst various treatments and were 55, 26 and 92% higher in NPK, N and NPK + FYM treatments over the control in the maize crop season and 43, 8 and 83% in the wheat crop season. Highly significant correlation of CO2 emissions was found with soil organic carbon and total nitrogen in the maize and the wheat crop seasons. Although, CO2 emissions were higher from long-term inorganic fertilizers and FYM treatments, still they are environmentally sustainable management practices, as they increased soil fertility and crop yields which consequently resulted in higher atmospheric CO2 capture by plants and carbon sequestration in soils.";"0";"WOS:000377633900001";2016;"treatment, residu, miner, rice, straw";0.667786092758744;89
"Identification and Validation of Novel Cerebrospinal Fluid Biomarkers
   for Staging Early Alzheimer's Disease";"Perrin, RJ
   Craig-Schapiro, R
   Malone, JP
   Shah, AR
   Gilmore, P
   Davis, AE
   Roe, CM
   Peskind, ER
   Li, G
   Galasko, DR
   Clark, CM
   Quinn, JF
   Kaye, JA
   Morris, JC
   Holtzman, DM
   Townsend, RR
   Fagan, AM";"Background: Ideally, disease modifying therapies for Alzheimer disease (AD) will be applied during the 'preclinical' stage (pathology present with cognition intact) before severe neuronal damage occurs, or upon recognizing very mild cognitive impairment. Developing and judiciously administering such therapies will require biomarker panels to identify early AD pathology, classify disease stage, monitor pathological progression, and predict cognitive decline. To discover such biomarkers, we measured AD-associated changes in the cerebrospinal fluid (CSF) proteome.
   Methods and Findings: CSF samples from individuals with mild AD (Clinical Dementia Rating [CDR] 1) (n = 24) and cognitively normal controls (CDR 0) (n = 24) were subjected to two-dimensional difference-in-gel electrophoresis. Within 119 differentially-abundant gel features, mass spectrometry (LC-MS/MS) identified 47 proteins. For validation, eleven proteins were re-evaluated by enzyme-linked immunosorbent assays (ELISA). Six of these assays (NrCAM, YKL-40, chromogranin A, carnosinase I, transthyretin, cystatin C) distinguished CDR 1 and CDR 0 groups and were subsequently applied (with tau, p-tau181 and A beta 42 ELISAs) to a larger independent cohort (n = 292) that included individuals with very mild dementia (CDR 0.5). Receiver-operating characteristic curve analyses using stepwise logistic regression yielded optimal biomarker combinations to distinguish CDR 0 from CDR. 0 (tau, YKL-40, NrCAM) and CDR 1 from CDR, 1 (tau, chromogranin A, carnosinase I) with areas under the curve of 0.90 (0.85-0.94 95% confidence interval [CI]) and 0.88 (0.81-0.94 CI), respectively.
   Conclusions: Four novel CSF biomarkers for AD (NrCAM, YKL-40, chromogranin A, carnosinase I) can improve the diagnostic accuracy of A beta 42 and tau. Together, these six markers describe six clinicopathological stages from cognitive normalcy to mild dementia, including stages defined by increased risk of cognitive decline. Such a panel might improve clinical trial efficiency by guiding subject enrollment and monitoring disease progression. Further studies will be required to validate this panel and evaluate its potential for distinguishing AD from other dementing conditions.";"84";"WOS:000286514300004";2011;"harvest, rotat, wood, simul, ton";0.667582853998491;53
"Impacts of zero tillage on soil enzyme activities, microbial
   characteristics and organic matter functional chemistry in temperate
   soils";"Mangalassery, S
   Mooney, SJ
   Sparkes, DL
   Fraser, WT
   Sjogersten, S";"Zero tillage management of agricultural soils has potential for enhancing soil carbon (C) storage and reducing greenhouse gas emissions. However, the mechanisms which control carbon (C) sequestration in soil in response to zero tillage are not well understood. The aim of this study was to investigate the links between zero tillage practices and the functioning of the soil microbial community with regards to C cycling, testing the hypothesis that zero tillage enhances biological functioning in soil with positive implications for C sequestration. Specifically, we determined microbial respiration rates, enzyme activities, carbon source utilization and the functional chemistry of the soil organic matter in temperate well drained soils that had been zero tilled for seven years against annually tilled soils. Zero tilled soils contained 9% more soil C, 30% higher microbial biomass C than tilled soil and an increased presence of aromatic functional groups indicating greater preservation of recalcitrant C. Greater CO2 emission and higher respirational quotients were observed from tilled soils compared to zero tilled soils while microbial biomass was 30% greater in zero tilled soils indicating a more efficient functioning of the microbial community under zero tillage practice. Furthermore, microbial enzyme activities of dehydrogenase, cellulase, xylanase, beta-glucosidase, phenol oxidase and peroxidase were higher in zero tilled soils. Considering zero tillage enhanced both microbial functioning and C storage in soil, we suggest that it offers significant promise to improve soil health and support mitigation measures against climate change. (C) 2015 Elsevier Masson SAS. All rights reserved.";"3";"WOS:000353857100002";2015;"communiti, microbi, dri, abund, group";0.667559091072469;89
"Human impacts on soil properties and their implications for the
   sensitivity of soil systems in Scotland";"Grieve, IC";"Human activities have had pronounced impacts on soil properties. Conifer afforestation in the uplands has caused significant decreases in soil pH and in the quality and turnover of organic matter. Acid deposition has increased soil acidity by a similar amount to conifer afforestation but has been shown to affect soils at greater depths. Acid deposition has also increased the mobility of trace metals in the soil and therefore increased metal concentrations in drainage waters. Applications of sewage sludge to the soil have been shown to increase metal concentrations, although most of the Scottish soils affected have high trace metal binding capacities. Intensification of arable cultivation in the lowlands has reduced organic matter concentrations, structural stability and soil workability, and has had effects on soil erodibility. Human trampling, while highly localised, affects sensitive mountain soils in popular areas, leading to loss of surface organic horizons, and therefore, carbon storage. The future impacts of human activities on the soil may be exacerbated by changing climate, and the need to monitor and predict these will not diminish. (C) 2001 Elsevier Science B.V. All rights reserved.";"32";"WOS:000166235000016";2001;"communiti, microbi, dri, abund, group";0.667306384281813;89
"Plant impact on the coupled terrestrial biogeochemical cycles of silicon
   and carbon: Implications for biogeochemical carbon sequestration";"Song, ZL
   Wang, HL
   Strong, PJ
   Li, ZM
   Jiang, PK";"The coupled terrestrial biogeochemical cycles of silicon (Si) and carbon (C) that are driven by plant action play a crucial role in the regulation of atmospheric CO2. Generally, the processes involved in the coupled cycles of Si and C include plant-enhanced silicate weathering, phytolith formation and solubilization, secondary aluminosilicate accumulation, phytolith occlusion of C as well as physico-chemical protection of organic C in soils. There is increasing evidence of biological pumping of Si in terrestrial ecosystems, suggesting that complex feedbacks exist amongst the processes within the coupled Si and C cycles. Recent advances in the coupled Si and C cycles offer promising new possibilities for enhancing atmospheric CO2 sequestration. Organic mulching, rock powder amendment, cultivating Si-accumulating plants and partial plant harvesting are potential measures that may allow for long-term manipulation and biogeochemical sequestration of atmospheric CO2 in soil-plant systems. (C) 2012 Elsevier B.V. All rights reserved.";"36";"WOS:000313609000007";2012;"optim, terrestri, radiat, forc, centuri";0.665408046877155;114
"Food first! Theorising assets and actors in agroforestry: risk evaders,
   opportunity seekers and 'the food imperative' in sub-Saharan Africa";"Jerneck, A
   Olsson, L";"Despite widely recognised and well-established benefits, it is difficult to adopt the multifunctional activity of agroforestry into the landscape and lifeworld of small-scale agriculture, if poverty, itself a main reason for adopting agroforestry, stands in its way. Based on participant observations and interviews with small-scale farmers in western Kenya, we explore and theorise agroforestry adoption as a process of socio-ecological and socio-technological change. Proceeding from sustainability science and a modified livelihoods approach we use grounded theory in narrative walks' to analyse adoption and non-adoption of agroforestry in a setting where farmers continuously interpret, adjust to and invest in their environment. Given the diversity and complexity of such livelihoods, the analysis is structured around reproductive and productive chains, strategies and practices defined by uncertainty and risk, and conflicting interests. Findings indicate that food secure farmers may act as entrepreneurially inclined opportunity seekers' and venture into agroforestry, whereas the food imperative'(alongside the health imperative') makes it more difficult for agroforestry to take root among the poorest of the poor' who act as risk evaders'. Hence, agroforestry adoption must be understood within an integrated human-environment frame recognising the socio-ecological relations of technology adoption and the wider political aspects and power structures of food security.";"4";"WOS:000332060400001";2014;"farm, biodivers, food, agroforestri, program";0.665097733017366;94
"Global patterns of the dynamics of soil carbon and nitrogen stocks
   following afforestation: a meta-analysis";"Li, DJ
   Niu, SL
   Luo, YQ";"Afforestation has been proposed as an effective method of carbon (C) sequestration; however, the magnitude and direction of soil carbon accumulation following afforestation and its regulation by soil nitrogen (N) dynamics are still not well understood. We synthesized the results from 292 sites and carried out a meta-analysis to evaluate the dynamics of soil C and N stocks following afforestation. Changes in soil C and N stocks were significantly correlated and had a similar temporal pattern. Significant C and N stock increases were found 30 and 50 yr after afforestation, respectively. Before these time points, C and N stocks were either depleted or unchanged. Carbon stock increased following afforestation on cropland and pasture, and in tropical, subtropical and boreal zones. The soil N stock increased in the subtropical zone. The soil C stock increased after afforestation with hardwoods such as Eucalyptus, but did not change after afforestation with softwoods such as pine. Soil N stocks increased and decreased, respectively, after afforestation with hardwoods (excluding Eucalyptus) and pine. These results indicate that soil C and N stocks both increase with time after afforestation, and that C sequestration through afforestation depends on prior land use, climate and the tree species planted.";"80";"WOS:000304448500020";2012;"afforest, plantat, stock, pine, layer";0.664170105989412;123
"Dynamic Molecular Structure of Plant Biomass-Derived Black Carbon
   (Biochar)";"Keiluweit, M
   Nico, PS
   Johnson, MG
   Kleber, M";"Char black carbon (BC), the solid residue of incomplete combustion, is continuously being added to soils and sediments due to natural vegetation fires, anthropogenic pollution, and new strategies for carbon sequestration (\"biochar\"). Here we present a molecular-level assessment of the physical organization and chemical complexity of biomass-derived chars and, specifically, that of aromatic carbon in char structures. Brunauer-Emmett-Teller (BET)-N(2) surface area (SA), X-ray diffraction (XRD), synchrotron-based near-edge X-ray absorption fine structure (NEXAFS), and Fourier transform infrared (FT-IR) spectroscopy are used to show how two plant materials (wood and grass) undergo analogous but quantitatively different physical-chemical transitions as charring temperature increases from 100 to 700 degrees C. These changes suggest the existence of four distinct categories of char consisting of a unique mixture of chemical phases and physical states: (i) in transition chars,the crystalline character of the precursor materials is preserved; (ii) in amorphous chars, the heat-altered molecules and incipient aromatic polycondensates are randomly mixed; (iii) composite chars consist of poorly ordered graphene stacks embedded in amorphous phases; and (iv) turbostratic chars are dominated by disordered graphitic crystallites. Molecular variations among the different char categories likely translate into differences in their ability to persist in the environment and function as environmental sorbents.";"504";"WOS:000274347800016";2010;"degre, stabil, char, charcoal, decomposit";0.661407169719929;92
"Social and environmental impacts of payments for environmental services
   for agroforestry on small-scale farms in southern Costa Rica";"Cole, RJ";"Agroforestry on small-scale farms has potential to provide important ecological services, such as carbon sequestration and maintenance of biological diversity, while also providing on-farm products for domestic use and marketing. Payments for environmental services (PES) are an increasingly popular mechanism for encouraging production of ecological services on agricultural lands and may also contribute to poverty reduction and sustainable farming practices through adoption of new farming technologies. There is little current information, however, on the degree to which PES increase tree planting relative to a baseline or the effects of program participation on farmer livelihoods. This study examined the initial impacts of a recent PES program for agroforestry in southern Costa Rica by: (1) assessing the efficiency of PES in increasing reforestation relative to baseline tree planting activities; (2) examining farmer perceptions of socioeconomic and environmental impacts of PES; and (3) exploring obstacles to adoption of agroforestry practices. Thirty-six participant and non-participant farmers were given semi-structured interviews. Key informant interviews were conducted with forestry engineers, farmers' associations, NGOs, and government agencies. Farmers reported positive economic benefits in the first 2-3 years of program participation. PES participants also planted substantially more trees and more species than non-participant farmers. The PES program was effective in overcoming initial economic and technical obstacles that made adoption of agroforestry unattractive. Strong local organizations played a key role in facilitating adoption. Additional investment in short- to medium-term technical support will likely be necessary for broad retention of agroforestry practices beyond the life of the PES contracts.";"9";"WOS:000277755300003";2010;"farm, biodivers, food, agroforestri, program";0.660795622005345;94
